iter	Passed	Remaining
434	2288	2972
435	2292	2965
436	2295	2956
437	2296	2947
438	2305	2945
439	2307	2937
440	2309	2927
441	2311	2918
442	2319	2916
443	2322	2908
444	2324	2898
445	2326	2889
446	2327	2879
447	2336	2878
448	2338	2869
449	2340	2860
450	2342	2851
451	2344	2842
452	2351	2839
453	2353	2830
454	2355	2820
455	2357	2811
456	2358	2802
457	2365	2798
458	2367	2790
459	2369	2781
460	2371	2772
461	2372	2763
462	2380	2761
463	2382	2752
464	2384	2743
465	2385	2734
466	2387	2724
467	2388	2715
468	2394	2710
469	2396	2702
470	2398	2693
471	2400	2684
472	2403	2677
473	2409	2673
474	2411	2665
475	2414	2657
476	2415	2648
477	2417	2640
478	2419	2631
479	2422	2624
480	2425	2616
481	2427	2608
482	2429	2600
483	2430	2591
484	2434	2584
485	2437	2577
486	2439	2569
487	2441	2561
488	2442	2552
489	2444	2544
490	2445	2535
491	2452	2532
492	2454	2524
493	2456	2515
494	2457	2507
495	2459	2498
496	2460	2490
497	2462	2481
498	2465	2475
499	2467	2467
500	2469	2459
501	2471	2451
502	2473	2443
503	2475	2435
504	2481	2431
505	2482	2424
506	2484	2416
507	2486	2408
508	2488	2400
509	2489	2392
510	2491	2384
511	2496	2379
512	2498	2372
513	2500	2364
514	2503	2357
515	2508	2352
516	2510	2345
517	2513	2338
518	2515	2330
519	2516	2323
520	2518	2315
521	2524	2311
522	2527	2305
523	2529	2297
524	2531	2289
525	2533	2282
526	2534	2275
527	2541	2272
528	2543	2264
529	2545	2257
530	2547	2249
531	2548	2241
532	2549	2234
533	2555	2230
534	2557	2223
535	2560	2216
536	2562	2209
537	2563	2201
538	2570	2198
539	2572	2191
540	2575	2185
541	2577	2178
542	2579	2170
543	2588	2170
544	2591	2163
545	2593	2156
546	2595	2149
547	2602	2146
548	2604	2139
549	2606	2132
550	2607	2125
551	2609	2117
552	2611	2110
553	2617	2106
554	2619	2100
555	2620	2092
556	2622	2085
557	2623	2078
558	2624	2070
559	2626	2063
560	2627	2055
561	2630	2050
562	2632	2043
563	2633	2036
564	2635	2028
565	2636	2021
566	2637	2014
567	2638	2006
568	2639	1999
569	2640	1992
570	2642	1985
571	2646	1980
572	2649	1974
573	2651	1967
574	2653	1961
575	2654	1954
576	2655	1947
577	2657	1939
578	2660	1934
579	2661	1927
580	2663	1920
581	2664	1913
582	2666	1906
583	2667	1900
584	2668	1893
585	2669	1886
586	2670	1879
587	2675	1874
588	2678	1869
589	2680	1862
590	2681	1855
591	2683	1849
592	2684	1842
593	2686	1835
594	2687	1829
595	2690	1823
596	2691	1817
597	2693	1810
598	2695	1804
599	2696	1797
600	2697	1791
601	2699	1784
602	2700	1777
603	2703	1772
604	2705	1766
605	2707	1760
606	2709	1754
607	2710	1747
608	2712	1741
609	2713	1734
610	2714	1728
611	2716	1722
612	2719	1716
613	2720	1710
614	2722	1704
615	2724	1698
616	2726	1692
617	2727	1685
618	2728	1679
619	2730	1673
620	2731	1667
621	2734	1661
622	2735	1655
623	2737	1649
624	2739	1643
625	2740	1637
626	2741	1631
627	2743	1625
628	2744	1618
629	2746	1613
630	2749	1607
631	2750	1601
632	2753	1596
633	2754	1590
634	2755	1583
635	2756	1577
636	2757	1571
637	2759	1565
638	2760	1559
639	2763	1554
640	2765	1548
641	2766	1542
642	2767	1536
643	2769	1530
644	2770	1524
645	2771	1518
646	2772	1512
647	2773	1506
648	2775	1500
649	2777	1495
650	2779	1490
651	2781	1484
652	2782	1478
653	2784	1473
654	2786	1467
655	2787	1461
656	2788	1455
657	2789	1450
658	2792	1445
659	2794	1439
660	2795	1433
661	2796	1428
662	2798	1422
663	2799	1416
664	2800	1410
665	2801	1405
666	2802	1399
667	2804	1393
668	2805	1388
669	2808	1383
670	2810	1377
671	2811	1372
672	2812	1366
673	2813	1361
674	2815	1355
675	2816	1349
676	2817	1344
677	2818	1338
678	2819	1333
679	2822	1328
680	2824	1323
681	2825	1317
682	2827	1312
683	2828	1306
684	2829	1301
685	2830	1295
686	2832	1290
687	2833	1284
688	2834	1279
689	2837	1274
690	2839	1269
691	2840	1264
692	2841	1258
693	2843	1253
694	2844	1248
695	2845	1242
696	2846	1237
697	2847	1232
698	2848	1226
699	2851	1222
700	2853	1217
701	2854	1211
702	2856	1206
703	2857	1201
704	2858	1196
705	2859	1190
706	2860	1185
707	2862	1180
708	2863	1175
709	2866	1170
710	2867	1165
711	2869	1160
712	2870	1155
713	2872	1150
714	2873	1145
715	2874	1140
716	2876	1135
717	2877	1130
718	2878	1124
719	2881	1120
720	2882	1115
721	2884	1110
722	2885	1105
723	2886	1100
724	2887	1095
725	2889	1090
726	2890	1085
727	2891	1080
728	2892	1075
729	2894	1070
730	2896	1065
731	2897	1060
732	2899	1056
733	2900	1051
734	2901	1046
735	2903	1041
736	2904	1036
737	2905	1031
738	2906	1026
739	2907	1021
740	2910	1017
741	2911	1012
742	2913	1007
743	2914	1002
744	2916	998
745	2917	993
746	2918	988
747	2919	983
748	2920	978
749	2922	974
750	2923	969
751	2925	964
752	2927	960
753	2928	955
754	2929	950
755	2931	946
756	2932	941
757	2933	936
758	2934	931
759	2935	927
760	2936	922
761	2939	918
762	2941	913
763	2943	909
764	2944	904
765	2945	899
766	2946	895
767	2947	890
768	2949	885
769	2950	881
770	2951	876
771	2956	873
772	2960	869
773	2962	865
774	2964	860
775	2965	856
776	2967	851
777	2974	848
778	2976	844
779	2980	840
780	2981	836
781	2988	833
782	2990	828
783	2992	824
784	2994	820
785	2996	815
786	2997	811
787	3030	815
788	3037	812
789	3039	808
790	3041	803
791	3043	799
792	3045	794
793	3046	790
794	3050	786
795	3052	782
796	3054	778
797	3056	773
798	3058	769
799	3060	765
800	3061	760
801	3064	756
802	3074	754
803	3076	749
804	3078	745
805	3082	741
806	3084	737
807	3086	733
808	3088	729
809	3090	724
810	3092	720
811	3096	716
812	3098	712
813	3100	708
814	3102	704
815	3104	699
816	3106	695
817	3123	695
818	3128	691
819	3130	687
820	3131	682
821	3133	678
822	3135	674
823	3137	670
824	3139	665
825	3143	662
826	3145	658
827	3159	656
828	3161	652
829	3164	648
830	3166	643
831	3170	640
832	3171	635
833	3176	632
834	3178	628
835	3202	628
836	3204	624
837	3206	619
838	3209	615
839	3210	611
840	3212	607
841	3214	603
842	3216	598
843	3238	598
844	3241	594
845	3245	590
846	3248	586
847	3255	583
848	3258	579
849	3261	575
850	3265	571
851	3269	568
852	3273	564
853	3276	560
854	3281	556
855	3284	552
856	3287	548
857	3290	544
858	3293	540
859	3297	536
860	3300	532
861	3304	528
862	3306	524
863	3310	521
864	3313	517
865	3317	513
866	3319	509
867	3322	505
868	3327	501
869	3332	497
870	3335	494
871	3338	490
872	3343	486
873	3346	482
874	3347	478
875	3349	474
876	3351	470
877	3353	465
878	3356	461
879	3358	458
880	3360	453
881	3361	449
882	3363	445
883	3364	441
884	3365	437
885	3367	433
886	3368	429
887	3371	425
888	3372	421
889	3374	417
890	3375	412
891	3376	408
892	3377	404
893	3378	400
894	3380	396
895	3381	392
896	3382	388
897	3385	384
898	3387	380
899	3388	376
900	3389	372
901	3391	368
902	3392	364
903	3393	360
904	3394	356
905	3395	352
906	3397	348
907	3399	344
908	3401	340
909	3402	336
910	3404	332
911	3405	328
912	3406	324
913	3407	320
914	3408	316
915	3410	312
916	3411	308
917	3412	304
918	3415	301
919	3416	297
920	3418	293
921	3419	289
922	3420	285
923	3421	281
924	3423	277
925	3424	273
926	3425	269
927	3426	265
928	3429	262
929	3430	258
930	3432	254
931	3433	250
932	3434	246
933	3435	242
934	3437	238
935	3439	235
936	3441	231
937	3442	227
938	3444	223
939	3446	219
940	3447	216
941	3449	212
942	3450	208
943	3452	204
944	3454	201
945	3456	197
946	3460	193
947	3461	189
948	3463	186
949	3465	182
950	3466	178
951	3468	174
952	3470	171
953	3471	167
954	3474	163
955	3475	159
956	3476	156
957	3478	152
958	3479	148
959	3480	145
960	3482	141
961	3483	137
962	3484	133
963	3485	130
964	3487	126
965	3489	122
966	3490	119
967	3492	115
968	3493	111
969	3494	108
970	3496	104
971	3497	100
972	3498	97
973	3499	93
974	3501	89
975	3504	86
976	3505	82
977	3507	78
978	3508	75
979	3509	71
980	3510	67
981	3511	64
982	3513	60
983	3514	57
984	3516	53
985	3518	49
986	3520	46
987	3522	42
988	3523	39
989	3524	35
990	3525	32
991	3526	28
992	3527	24
993	3529	21
994	3530	17
995	3534	14
996	3535	10
997	3536	7
998	3538	3
999	3539	0
